titulo,tipo,ano,capa,sinopse,categoria
Slow Horses,Série,2022.0,https://image.tmdb.org/t/p/w500/rdNvIaPXpkUZl5tQLsTP15osfu2.jpg,"Este drama perspicaz acompanha uma equipe disfuncional de agentes da MI5 – e seu chefe arrogante, o notório Jackson Lamb – enquanto navegam os mistérios e ilusões do mundo da espionagem para proteger a Inglaterra de forças sinistras.",Ação
Devoradores de Estrelas,Filme,2026.0,https://image.tmdb.org/t/p/w500/2i8uru7rlbHKaoIbC2V4FZLT7uW.jpg,"O professor de ciências Ryland Grace acorda em uma espaçonave a anos-luz de casa, sem nenhuma lembrança de quem é ou como chegou ali. À medida que sua memória retorna, ele começa a descobrir sua missão: resolver o enigma de uma substância misteriosa que está fazendo o Sol morrer. Ele precisará recorrer ao seu conhecimento científico e a ideias nada convencionais para salvar tudo na Terra da extinção… mas uma amizade inesperada pode significar que ele não terá que fazer isso sozinho.",Ficção Científica
Supergirl,Filme,2026.0,https://image.tmdb.org/t/p/w500/lzth7xKSu8Sr9Bys6xo1ajqwgiO.jpg,"Quando um adversário implacável atinge alguém muito próximo dela, Kara Zor-El relutantemente une forças com uma companheira improvável em uma épica jornada interestelar de vingança e justiça.",Aventura e Fantasia
Minions & Monstros,Filme,2026.0,https://image.tmdb.org/t/p/w500/hTowtXrkCY7FJyoj4p91JckrJSE.jpg,"Esta é a frenética, ridícula e totalmente verdadeira história de como os Minions conquistaram Hollywood, se tornaram estrelas de cinema, perderam tudo, libertaram monstros pelo mundo e, depois, se uniram para tentar salvar o planeta do caos que eles mesmos haviam acabado de criar.",Terror
A Queda 2: No Limite,Filme,2026.0,https://image.tmdb.org/t/p/w500/xtxEvJACNnbz3WYmJ5mYT1a0KGk.jpg,"De luto pela morte de sua irmã Shiloh, Jax Hunter cria um laço com Luce, a amiga corajosa de Shiloh. Juntas, elas enfrentam a perigosa passarela suspensa do Monte Kwan, na Tailândia. Quando um deslizamento de rochas as deixa presas em uma estreita prancha a mais de 3.000 metros de altitude, Jax precisa enfrentar seus medos para sobreviver.",Terror
That Time I Got Reincarnated as a Slime,Série,2018.0,https://image.tmdb.org/t/p/w500/9YcNx1dnNkZ3PZzrMqc52WjCEcw.jpg,"Mikami Satoru, funcionário de uma megacorporação, é apunhalado por um assassino nas ruas e renasce num mundo paralelo... Mas ele renasce como um slime! Jogado neste novo mundo com o nome Rimuru, ele assume a missão de criar um mundo que seja acolhedor para todas as raças.",Terror
Against the Current,Série,2026.0,https://image.tmdb.org/t/p/w500/kfurXRMH1ZkUoyT5HN72zLTQxzZ.jpg,"Shen Jialan, neta de um nobre, vê sua vida desmoronar quando sua família é injustamente acusada de traição. Abandonada por seu noivo, Lin Jinqi, ela é obrigada a assumir a identidade de uma criada na casa dele. Apesar das dificuldades, ela se recusa a se curvar ao destino. Com determinação e inteligência, supera as barreiras de classe, conquista o coração de Lin Jinqi, ganha o respeito da família e, por fim, limpa o nome de seus familiares.",Ação
Star Trek: Strange New Worlds,Série,2022.0,https://image.tmdb.org/t/p/w500/bxuUbcM9GqvmQY1EDm5sMtLdcTv.jpg,"Em Star Trek: Strange New Worlds, o capitão Christopher Pike (Anson Mount) lidera a equipe do USS Enterprise pelos confins do universo em aventuras perigosas e intensas. Passando-se antes da trama da série original, Strange New Worlds explora mais profundamente o universo Star Trek antes da chegada do icônico Capitão Kirk (William Shatner). Pike, ainda inexperiente em liderar toda a Enterprise por conta própria, se apoia na ajuda de seus companheiros da nave, em especial Una Chin-Riley (Rebecca Romjin), segunda em comando depois dele. Além disso, ele conta a inteligência ímpar do popular personagem Spock (Ethan Peck), um alienígena meio humano meio vulcano. Os passageiros da USS Enterprise irão se aventurar por lugares inimagináveis e viverão uma jornada intensa pela galáxica, encontrando aliados fiéis, mas também fazendo inúmeros inimigos perigosos pelo caminho. Mas com o apoio de cada um, poderão completar suas missões com sucesso.",Ficção Científica
Buddy,Filme,2026.0,https://image.tmdb.org/t/p/w500/29QY0eScq4chCvZNBx3BIxNdbml.jpg,"Lembra-se do BUDDY — o unicórnio laranja-vivo e estrela daquele programa infantil clássico que levava alegria e lições de vida para a sua sala de estar? No mundo colorido de “It’s Buddy!”, um grupo de crianças passa os dias cantando, dançando e ajudando Buddy a espalhar felicidade. Mas, quando uma criança se recusa a participar da brincadeira, Buddy não gosta nada disso, e rachaduras começam a surgir nesse mundo aparentemente perfeito.",Blockbusters & Fura-Bolha
Vingadores: Doutor Destino,Filme,2026.0,https://image.tmdb.org/t/p/w500/j8ThEXgdGWYg1uWdSqygOSnlIA2.jpg,"Heróis icônicos de três universos diferentes são colocados em rota de colisão mortal e enfrentam uma ameaça existencial sem precedentes, diferente de tudo que já vivenciaram antes.",Universo Marvel (MCU)
